date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:07	6192/6192	------	200	untouched ('OK')	text/html	etag:W/%22644658a7-1830%22	https://andrew-bork.github.io/	andrew-bork.github.io/index.html	(from )
19:42:07	5254/5254	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%2265020b3f-24a3%22	https://andrew-bork.github.io/robots.txt		(from )
19:42:07	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/css	etag:W/%22644658a7-7b4%22	https://andrew-bork.github.io/_app/immutable/assets/_page.f1ccb910.css	andrew-bork.github.io/_app/immutable/assets/_page.f1ccb910.css	(from https://andrew-bork.github.io/)
19:42:08	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-5b38%22	https://andrew-bork.github.io/_app/immutable/entry/start.59b2b948.js	andrew-bork.github.io/_app/immutable/entry/start.59b2b948.js	(from https://andrew-bork.github.io/)
19:42:09	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-1bf1%22	https://andrew-bork.github.io/_app/immutable/chunks/index.35a29703.js	andrew-bork.github.io/_app/immutable/chunks/index.35a29703.js	(from https://andrew-bork.github.io/)
19:42:10	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-b14%22	https://andrew-bork.github.io/_app/immutable/chunks/singletons.b67e9eb9.js	andrew-bork.github.io/_app/immutable/chunks/singletons.b67e9eb9.js	(from https://andrew-bork.github.io/)
19:42:11	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-1617%22	https://andrew-bork.github.io/_app/immutable/entry/app.b5bd8f7e.js	andrew-bork.github.io/_app/immutable/entry/app.b5bd8f7e.js	(from https://andrew-bork.github.io/)
19:42:12	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-21a%22	https://andrew-bork.github.io/_app/immutable/entry/layout.svelte.f947655f.js	andrew-bork.github.io/_app/immutable/entry/layout.svelte.f947655f.js	(from https://andrew-bork.github.io/)
19:42:13	69/69	URF---	200	untouched ('OK%20(cached)')	application/x-javascript		https://andrew-bork.github.io/_app/immutable/entry/_layout.js.984db11e.js	andrew-bork.github.io/_app/immutable/entry/_layout.js.984db11e.js	(from https://andrew-bork.github.io/)
19:42:14	140/140	---M--	200	added ('OK')	application/javascript	etag:%22644658a7-8c%22	https://andrew-bork.github.io/_app/immutable/chunks/_layout.da46b06b.js	andrew-bork.github.io/_app/immutable/chunks/_layout.da46b06b.js	(from https://andrew-bork.github.io/)
19:42:15	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22644658a7-2833%22	https://andrew-bork.github.io/_app/immutable/entry/_page.svelte.82103a65.js	andrew-bork.github.io/_app/immutable/entry/_page.svelte.82103a65.js	(from https://andrew-bork.github.io/)
19:42:16	38730/38730	URF---	200	untouched ('OK%20(cached)')	image/png		https://andrew-bork.github.io/assets/orbits.png	andrew-bork.github.io/assets/orbits.png	(from https://andrew-bork.github.io/)
19:42:17	1206/1206	---M--	200	added ('OK')	text/html	etag:%22608c6444-4b6%22	https://andrew-bork.github.io/terrain/	andrew-bork.github.io/terrain/index.html	(from https://andrew-bork.github.io/)
19:42:17	2683/2683	---M--	200	added ('OK')	text/html	etag:%22624c0bf4-a7b%22	https://andrew-bork.github.io/orbit/	andrew-bork.github.io/orbit/index.html	(from https://andrew-bork.github.io/)
